,0,1,2,3,4,5,6,7,8,9
bottle,0.80622009569378,0.8987012987012988,0.9174641148325359,0.8540669856459331,0.9090909090909091,0.8397129186602871,0.8648325358851675,0.8672248803827751,0.8050239234449761,0.8636363636363636
cat,0.9533492822966507,0.965311004784689,0.937799043062201,0.950956937799043,0.9772727272727273,0.8588516746411483,0.9629186602870813,0.8923444976076556,0.9258373205741627,0.9318181818181819
chair,0.9641148325358851,0.9258373205741628,0.938961038961039,0.9557416267942583,0.9194805194805195,0.958133971291866,0.992822966507177,0.854066985645933,0.9162679425837321,0.938961038961039
face,0.9904306220095693,0.9940191387559808,0.9964114832535885,0.9820574162679425,1.0,0.9820574162679426,1.0,0.987012987012987,0.9832535885167464,0.9952153110047848
house,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
scissors,0.8959330143540669,0.9461722488038278,0.8995215311004785,0.8720095693779905,0.7834928229665072,0.8564593301435406,0.8983253588516746,0.9222488038277512,0.8265550239234449,0.8516746411483253
scrambledpix,0.9857142857142857,0.986842105263158,0.9748803827751196,0.9772727272727273,0.9712918660287082,0.9904306220095693,0.9629186602870814,1.0,0.9796650717703349,0.9940191387559809
shoe,0.9246411483253588,0.9198564593301435,0.9593301435406699,0.8662337662337662,0.9162679425837321,0.8624401913875599,0.9493506493506493,0.9282296650717703,0.9038961038961039,0.8444976076555024
