,0,1,2,3,4,5,6,7,8,9
bottle,0.8599439775910364,0.938375350140056,0.8575,0.8823529411764706,0.8425,0.8851540616246498,0.9551820728291316,0.8799999999999999,0.7647058823529411,0.9243697478991597
cat,0.9663865546218487,0.8599439775910364,0.8487394957983193,0.8935574229691876,0.8571428571428571,0.9,0.9859943977591037,0.8851540616246498,0.9747899159663865,0.8949999999999999
chair,0.9159663865546218,0.9275,0.9607843137254902,0.9327731092436975,0.9663865546218487,0.9803921568627452,0.8347338935574229,0.9495798319327731,0.8627450980392157,0.8487394957983193
face,0.9775910364145658,0.938375350140056,0.9775910364145658,0.9215686274509803,0.9299719887955182,1.0,0.9355742296918768,1.0,0.9974999999999999,0.9974999999999999
house,0.895,0.8935574229691876,0.938375350140056,0.9875,1.0,0.9019607843137254,0.9825,0.9225,0.9495798319327731,0.9831932773109243
scissors,0.91,0.85,0.8975,0.9550000000000001,0.8275,0.8879551820728291,0.8179271708683474,0.9103641456582633,0.8011204481792717,0.9243697478991596
scrambledpix,0.9635854341736695,0.957983193277311,0.9355742296918768,0.9719887955182073,0.9719887955182073,0.9159663865546218,0.99,0.9495798319327732,0.91,0.9803921568627452
shoe,0.8235294117647058,0.9019607843137255,0.7871148459383753,0.7899159663865545,0.3949579831932773,0.7875000000000001,0.8907563025210083,0.876750700280112,0.6106442577030812,0.8431372549019607
