,0,1,2,3,4,5,6,7,8,9
bottle,0.8050239234449761,0.8142857142857143,0.7236842105263157,0.8421052631578947,0.7380382775119617,0.8361244019138756,0.8791866028708134,0.9485645933014355,0.7834928229665072,0.8564593301435407
cat,0.7272727272727273,0.972488038277512,0.8612440191387559,0.8923444976076554,0.7404306220095693,0.812200956937799,0.8660287081339713,0.8229665071770336,0.736842105263158,0.9342105263157895
chair,0.84688995215311,0.8875598086124402,0.9194805194805195,0.757177033492823,0.92987012987013,0.6997607655502392,0.8385167464114833,0.7488038277511961,0.8110047846889952,0.812987012987013
face,0.9856459330143541,0.9258373205741627,0.8911483253588517,0.9102870813397129,0.9856459330143541,0.9174641148325359,0.9318181818181819,0.9363636363636364,0.9485645933014354,0.9114832535885168
house,0.9892344497607656,1.0,1.0,1.0,0.9976076555023923,0.9688311688311688,0.9880382775119618,0.9904306220095693,0.9892344497607655,0.972488038277512
scissors,0.8169856459330144,0.8875598086124402,0.8708133971291866,0.8325358851674641,0.8313397129186603,0.6722488038277512,0.7607655502392345,0.8098086124401914,0.7260765550239234,0.8169856459330144
scrambledpix,0.9103896103896104,0.9688995215311005,0.9294258373205742,0.923444976076555,0.9078947368421053,0.9270334928229665,0.9473684210526316,0.9904306220095694,0.895933014354067,0.9533492822966507
shoe,0.910287081339713,0.7033492822966507,0.937799043062201,0.8675324675324676,0.9150717703349283,0.9545454545454546,0.8766233766233766,0.9270334928229664,0.8506493506493507,0.8995215311004785
