,precision,recall,f1-score,support
bottle,0.25,0.07407407407407407,0.11428571428571428,27.0
cat,0.2631578947368421,0.37037037037037035,0.30769230769230765,27.0
chair,0.5714285714285714,0.14814814814814814,0.23529411764705882,27.0
face,0.47368421052631576,0.3333333333333333,0.391304347826087,27.0
house,0.46296296296296297,0.9259259259259259,0.617283950617284,27.0
scissors,0.5333333333333333,0.2962962962962963,0.38095238095238093,27.0
scrambledpix,0.3709677419354839,0.8518518518518519,0.5168539325842697,27.0
shoe,0.07692307692307693,0.037037037037037035,0.05,27.0
accuracy,0.37962962962962965,0.37962962962962965,0.37962962962962965,0.37962962962962965
macro avg,0.3753072239808233,0.37962962962962965,0.3267083439506378,216.0
weighted avg,0.3753072239808233,0.37962962962962965,0.3267083439506378,216.0
