,0,1,2,3,4,5,6,7,8,9
bottle,0.8086124401913877,0.7922077922077922,0.9401913875598086,0.7811004784688995,0.7870813397129186,0.8696172248803827,0.8385167464114833,0.8744019138755981,0.7703349282296651,0.8145933014354066
cat,0.985645933014354,0.9318181818181818,0.9593301435406698,0.9820574162679426,0.9856459330143541,0.9904306220095693,0.9820574162679425,0.9952153110047847,0.9904306220095694,0.9904306220095693
chair,0.8624401913875598,0.8851674641148325,0.7584415584415585,0.7535885167464115,0.8506493506493507,0.8217703349282297,0.7787081339712919,0.7691387559808613,0.8086124401913876,0.8129870129870129
face,0.9545454545454545,0.9844497607655502,0.9497607655502392,0.9485645933014353,0.9521531100478469,0.8875598086124402,0.8911483253588517,0.9831168831168831,0.9688995215311005,0.9521531100478469
house,0.9988038277511961,1.0,1.0,1.0,1.0,0.987012987012987,0.9988038277511961,0.9988038277511961,0.9988038277511961,1.0
scissors,0.937799043062201,0.8803827751196173,0.964114832535885,0.9066985645933014,0.8732057416267943,0.937799043062201,0.9055023923444976,0.9282296650717703,0.992822966507177,0.9318181818181819
scrambledpix,0.9727272727272727,0.9043062200956938,0.9401913875598086,0.9222488038277512,0.94377990430622,0.881578947368421,0.9282296650717703,0.9796650717703349,0.9509569377990431,0.9808612440191388
shoe,0.8803827751196172,0.8911483253588518,0.9126794258373206,0.9298701298701298,0.9545454545454546,0.8038277511961722,0.9064935064935066,0.9090909090909091,0.8272727272727273,0.9138755980861244
