,0,1,2,3,4,5,6,7,8,9
bottle,0.918859649122807,0.8492063492063492,0.8530701754385965,0.8442982456140351,0.8157894736842105,0.8399122807017544,0.8596491228070176,0.875,0.7828947368421053,0.9517543859649122
cat,0.9100877192982457,0.9276315789473684,0.9035087719298245,0.9846491228070176,0.9407894736842106,0.9276315789473684,0.9736842105263158,0.9298245614035088,0.9671052631578947,0.9484126984126984
chair,0.9057017543859649,0.9254385964912281,0.8859649122807018,0.9714912280701754,0.9407894736842105,0.9166666666666667,0.9451754385964912,0.9692982456140351,0.9424603174603176,0.9385964912280702
face,1.0,1.0,0.9912280701754386,0.998015873015873,0.9495614035087719,1.0,1.0,0.9605263157894737,1.0,1.0
house,0.998015873015873,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
scissors,0.9407894736842104,0.9868421052631579,0.9517543859649122,0.8070175438596492,0.9956140350877193,0.9671052631578948,0.9583333333333334,0.8815789473684211,0.8640350877192984,0.9473684210526316
scrambledpix,0.9692982456140351,0.9978070175438596,0.9841269841269841,0.9934210526315789,0.9956140350877193,0.9758771929824561,0.9960317460317459,0.9841269841269841,0.9649122807017544,0.9846491228070176
shoe,0.9824561403508771,0.8355263157894738,0.993421052631579,0.8793859649122806,0.8630952380952381,0.8947368421052632,0.9451754385964912,0.8837719298245614,0.8771929824561404,0.875
