Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
CalibratedClassifierCV,0.8739495798319328,0.8703359140859142,,0.8745519845352363,4.600437164306641
PassiveAggressiveClassifier,0.8697478991596639,0.868956043956044,,0.870677276502762,0.22594094276428223
LinearSVC,0.865546218487395,0.8619484681984682,,0.8652964974302448,1.2823045253753662
LogisticRegression,0.8571428571428571,0.8531821626649213,,0.8586553079450548,0.177537202835083
NuSVC,0.8487394957983193,0.8498355093182679,,0.8524447444252534,0.32637596130371094
SGDClassifier,0.8445378151260504,0.8434419029246616,,0.8438917098674918,0.07855987548828125
RidgeClassifierCV,0.8109243697478992,0.8060583812738985,,0.8137833583659708,0.1792619228363037
Perceptron,0.7815126050420168,0.7721171787982133,,0.7815997702713514,0.07825660705566406
SVC,0.7521008403361344,0.7542165449493036,,0.7488108523875099,0.3046562671661377
KNeighborsClassifier,0.726890756302521,0.730525580741098,,0.7296282667735955,0.13659882545471191
ExtraTreesClassifier,0.7184873949579832,0.720831180313939,,0.7167737702526175,0.26723670959472656
RidgeClassifier,0.7016806722689075,0.7007196826162343,,0.7074748532902032,0.03086113929748535
XGBClassifier,0.7016806722689075,0.6995377467360226,,0.699245110123329,4.583211421966553
RandomForestClassifier,0.6932773109243697,0.6951526921354507,,0.6945259719490252,0.5992319583892822
LGBMClassifier,0.6890756302521008,0.6835995182977941,,0.6906805845795204,16.4688937664032
LinearDiscriminantAnalysis,0.6512605042016807,0.6422367144349903,,0.6496845802431137,0.17912864685058594
BaggingClassifier,0.4957983193277311,0.48966809053015947,,0.5000635381358047,1.199195384979248
NearestCentroid,0.36134453781512604,0.35880929415412177,,0.3753857049476329,0.02264571189880371
GaussianNB,0.36134453781512604,0.3512272210548073,,0.3717006665067128,0.029188156127929688
DecisionTreeClassifier,0.35294117647058826,0.35065473319783663,,0.3509308407853818,0.14838743209838867
ExtraTreeClassifier,0.33613445378151263,0.3356030463789085,,0.33692060176658023,0.02543950080871582
BernoulliNB,0.2857142857142857,0.2897469628073076,,0.27501114437240853,0.06052827835083008
AdaBoostClassifier,0.21008403361344538,0.22660321000838243,,0.19137394555635245,1.391221523284912
QuadraticDiscriminantAnalysis,0.18487394957983194,0.19039545224890053,,0.17884958067775117,0.14129900932312012
DummyClassifier,0.13865546218487396,0.1384555817745473,,0.13903107184942437,0.020535945892333984
LabelSpreading,0.13865546218487396,0.125,,0.03376848894539366,0.05458354949951172
LabelPropagation,0.13865546218487396,0.125,,0.03376848894539366,0.05973219871520996
