,0,1,2,3,4,5,6,7,8,9
bottle,0.8828571428571429,0.9028571428571428,0.9614285714285714,0.9385714285714286,0.9571428571428571,0.8214285714285714,0.81,0.8857142857142858,0.9085714285714286,0.87
cat,0.9985714285714287,0.7871428571428571,0.9600000000000001,0.9885714285714287,0.9914285714285714,0.9857142857142858,1.0,0.9600000000000001,0.9385714285714286,0.8271428571428571
chair,0.8542857142857143,0.8385714285714285,0.8914285714285715,0.9100000000000001,0.9500000000000001,0.8400000000000001,0.8914285714285715,0.7842857142857143,0.8071428571428572,0.9099999999999999
face,0.9642857142857143,0.9742857142857142,0.98,0.9971428571428572,0.9671428571428572,0.9585714285714285,0.9757142857142856,0.9971428571428571,0.9885714285714285,0.9785714285714285
house,0.9771428571428571,1.0,0.9585714285714285,0.9728571428571429,0.9828571428571429,0.9771428571428572,0.98,0.9957142857142858,1.0,0.9728571428571429
scissors,0.8585714285714285,0.8214285714285714,0.8099999999999999,0.8642857142857143,0.8885714285714286,0.9342857142857142,0.9571428571428571,0.7657142857142858,0.8228571428571428,0.8057142857142857
scrambledpix,0.99,0.9614285714285714,0.9757142857142858,0.9571428571428572,0.9671428571428572,0.9942857142857142,0.9442857142857143,0.9957142857142858,0.9814285714285715,0.9614285714285714
shoe,0.8685714285714285,0.8842857142857143,0.7485714285714287,0.8371428571428571,0.8571428571428572,0.8514285714285714,0.8371428571428571,0.8985714285714286,0.7371428571428571,0.7785714285714287
