,precision,recall,f1-score,support
bottle,0.4,0.07407407407407407,0.125,27.0
cat,0.32558139534883723,0.5185185185185185,0.4,27.0
chair,0.21052631578947367,0.2962962962962963,0.24615384615384617,27.0
face,0.45,0.3333333333333333,0.3829787234042553,27.0
house,0.4230769230769231,0.4074074074074074,0.4150943396226415,27.0
scissors,0.2727272727272727,0.1111111111111111,0.15789473684210525,27.0
scrambledpix,0.3235294117647059,0.8148148148148148,0.4631578947368421,27.0
shoe,0.2,0.037037037037037035,0.0625,27.0
accuracy,0.32407407407407407,0.32407407407407407,0.32407407407407407,0.32407407407407407
macro avg,0.32568016483840156,0.32407407407407407,0.28159744259496133,216.0
weighted avg,0.32568016483840156,0.32407407407407407,0.2815974425949613,216.0
