,0,1,2,3,4,5,6,7,8,9
bottle,0.8373205741626794,0.9467532467532467,0.819377990430622,0.8899521531100478,0.7368421052631579,0.8755980861244018,0.80622009569378,0.7440191387559809,0.8026315789473685,0.7200956937799045
cat,0.8839712918660287,0.8397129186602871,0.7476076555023924,0.8313397129186603,0.7942583732057416,0.854066985645933,0.916267942583732,0.868421052631579,0.8002392344497609,0.8385167464114833
chair,0.785885167464115,0.8074162679425837,0.9558441558441559,0.8875598086124402,0.8493506493506493,0.8253588516746412,0.9222488038277512,0.8397129186602871,0.9019138755980862,0.9337662337662337
face,0.9605263157894737,0.9976076555023924,0.9796650717703349,0.9988038277511961,1.0,0.9688995215311005,1.0,1.0,1.0,0.9545454545454545
house,0.986842105263158,1.0,1.0,1.0,0.9521531100478469,0.9987012987012986,0.9258373205741627,1.0,0.9952153110047847,1.0
scissors,0.8468899521531101,0.8349282296650717,0.8779904306220094,0.9055023923444976,0.8229665071770336,0.7356459330143541,0.7607655502392344,0.8839712918660286,0.8313397129186604,0.812200956937799
scrambledpix,0.9467532467532468,0.9581339712918661,0.9569377990430622,0.9688995215311005,0.9354066985645932,0.9497607655502392,0.9521531100478469,0.9569377990430622,0.9413875598086124,0.9593301435406698
shoe,0.9270334928229664,0.7117224880382775,0.8696172248803828,0.9428571428571428,0.8349282296650719,0.7870813397129186,0.8480519480519481,0.8480861244019138,0.8077922077922077,0.8456937799043063
