,precision,recall,f1-score,support
bottle,0.3333333333333333,0.037037037037037035,0.06666666666666667,27.0
cat,0.38,0.7037037037037037,0.49350649350649356,27.0
chair,0.34782608695652173,0.2962962962962963,0.31999999999999995,27.0
face,0.5714285714285714,0.4444444444444444,0.5,27.0
house,0.5227272727272727,0.8518518518518519,0.647887323943662,27.0
scissors,0.4666666666666667,0.5185185185185185,0.4912280701754386,27.0
scrambledpix,0.2727272727272727,0.4444444444444444,0.3380281690140845,27.0
shoe,0.0,0.0,0.0,27.0
accuracy,0.41203703703703703,0.41203703703703703,0.41203703703703703,0.41203703703703703
macro avg,0.36183865047995484,0.412037037037037,0.3571645904132932,216.0
weighted avg,0.36183865047995484,0.41203703703703703,0.3571645904132931,216.0
