Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
CalibratedClassifierCV,0.9692307692307692,0.9707089887236946,,0.9693623265787833,6.985013484954834
PassiveAggressiveClassifier,0.9615384615384616,0.9625682324211736,,0.9615540536157534,0.2813374996185303
LinearSVC,0.9538461538461539,0.9548988185017597,,0.9536107462443083,1.5970165729522705
RidgeClassifierCV,0.95,0.9526162307871867,,0.950344025213839,0.3154933452606201
LogisticRegression,0.9384615384615385,0.9400367198161317,,0.9379877293823947,0.21149611473083496
Perceptron,0.9230769230769231,0.924468954248366,,0.9227248943757403,0.09392046928405762
NuSVC,0.9230769230769231,0.9240748783487753,,0.9226431745462804,0.485684871673584
SGDClassifier,0.8730769230769231,0.8754035588594412,,0.8718386234648168,0.11686110496520996
RandomForestClassifier,0.8384615384615385,0.8459451088127559,,0.8376535828063753,0.7183754444122314
ExtraTreesClassifier,0.8307692307692308,0.8401965273288803,,0.8299230191366508,0.4225752353668213
RidgeClassifier,0.8346153846153846,0.8394231330352654,,0.8369487849241197,0.06043434143066406
LGBMClassifier,0.823076923076923,0.8290095525389642,,0.8229711548735674,17.60481333732605
KNeighborsClassifier,0.8115384615384615,0.8179918121094591,,0.8097747993980199,0.29531240463256836
SVC,0.7769230769230769,0.785656882945486,,0.7757077149410647,0.43114686012268066
XGBClassifier,0.7730769230769231,0.7787877971701501,,0.7734039787641999,3.128061056137085
BaggingClassifier,0.6423076923076924,0.6537982340372046,,0.6404582865645457,1.2567358016967773
DecisionTreeClassifier,0.5038461538461538,0.5179295275802629,,0.49775332339219047,0.25586462020874023
LinearDiscriminantAnalysis,0.4307692307692308,0.44091442666810315,,0.42527637907794424,0.33261823654174805
NearestCentroid,0.38461538461538464,0.39443221198735906,,0.38569050099112984,0.034583330154418945
GaussianNB,0.38461538461538464,0.38857140612655316,,0.3806837170066743,0.08858895301818848
ExtraTreeClassifier,0.3769230769230769,0.3796350351037851,,0.37462014503190977,0.041535139083862305
BernoulliNB,0.3384615384615385,0.3522803432270344,,0.3295296152822046,0.05393362045288086
AdaBoostClassifier,0.25,0.2651604471916972,,0.22048021572279858,1.6233456134796143
QuadraticDiscriminantAnalysis,0.16153846153846155,0.1672098887631976,,0.1590629323213357,0.18438506126403809
DummyClassifier,0.13846153846153847,0.14170515962795374,,0.13650171960893276,0.037473201751708984
LabelSpreading,0.15,0.125,,0.03913043478260869,0.08148837089538574
LabelPropagation,0.15,0.125,,0.03913043478260869,0.08476614952087402
