,precision,recall,f1-score,support
bottle,0.2222222222222222,0.2962962962962963,0.25396825396825395,27.0
cat,0.13636363636363635,0.1111111111111111,0.12244897959183673,27.0
chair,0.34146341463414637,0.5185185185185185,0.411764705882353,27.0
face,0.21739130434782608,0.37037037037037035,0.27397260273972607,27.0
house,1.0,0.5555555555555556,0.7142857142857143,27.0
scissors,0.0,0.0,0.0,27.0
scrambledpix,0.3684210526315789,0.5185185185185185,0.4307692307692308,27.0
shoe,0.3333333333333333,0.1111111111111111,0.16666666666666666,27.0
accuracy,0.3101851851851852,0.3101851851851852,0.3101851851851852,0.3101851851851852
macro avg,0.3273993704415929,0.3101851851851852,0.29673451923797267,216.0
weighted avg,0.3273993704415929,0.3101851851851852,0.2967345192379727,216.0
