Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NuSVC,0.7923076923076923,0.7983142108260703,,0.7920427219164303,0.2829594612121582
CalibratedClassifierCV,0.7576923076923077,0.7664030234120367,,0.7575182814297712,3.3213400840759277
LogisticRegression,0.7461538461538462,0.7518037860305413,,0.7474661599293952,0.15044736862182617
Perceptron,0.7423076923076923,0.7507376158348644,,0.7438092910632365,0.06787705421447754
PassiveAggressiveClassifier,0.7423076923076923,0.7505692656665143,,0.7408289751099028,0.1775057315826416
RidgeClassifierCV,0.7269230769230769,0.7370526216351643,,0.7248803183881508,0.16139936447143555
SVC,0.7269230769230769,0.735280535316114,,0.7258689547615028,0.26126718521118164
LinearSVC,0.7153846153846154,0.7254939325029458,,0.7140444518435611,0.8626043796539307
SGDClassifier,0.6961538461538461,0.7007993894853477,,0.7003221646592782,0.07535696029663086
LinearDiscriminantAnalysis,0.6807692307692308,0.6941024617732398,,0.6788137160600286,0.1980729103088379
RidgeClassifier,0.6615384615384615,0.6758189615044454,,0.6553821096419491,0.03804755210876465
KNeighborsClassifier,0.6576923076923077,0.667445907981961,,0.6544550815356371,0.1324143409729004
LGBMClassifier,0.6346153846153846,0.6493830906425784,,0.6292455390842745,12.979189395904541
XGBClassifier,0.6269230769230769,0.6400826622600816,,0.6220074802246933,3.618318557739258
RandomForestClassifier,0.6115384615384616,0.628660823240994,,0.6010747286437086,0.738544225692749
ExtraTreesClassifier,0.6038461538461538,0.6231834188546712,,0.5884121423826149,0.3630549907684326
BaggingClassifier,0.48846153846153845,0.5030495384859711,,0.48563309924191317,0.9445390701293945
GaussianNB,0.4076923076923077,0.42252106202533146,,0.40884612065648585,0.024764299392700195
NearestCentroid,0.4,0.41585616488367916,,0.4015716538034718,0.021441936492919922
DecisionTreeClassifier,0.36923076923076925,0.37766823493815904,,0.36390210522365835,0.13217687606811523
BernoulliNB,0.3423076923076923,0.35911305382368003,,0.333720276676914,0.047475337982177734
ExtraTreeClassifier,0.2692307692307692,0.28003219942261687,,0.2654689642221935,0.025290727615356445
AdaBoostClassifier,0.22692307692307692,0.25475157968042217,,0.20336274138607296,1.1258964538574219
QuadraticDiscriminantAnalysis,0.1346153846153846,0.1436070917451373,,0.11933748593867521,0.1431872844696045
DummyClassifier,0.1346153846153846,0.13577949345264334,,0.13142410708286412,0.027648448944091797
LabelSpreading,0.13076923076923078,0.125,,0.030245944531658818,0.06447267532348633
LabelPropagation,0.13076923076923078,0.125,,0.030245944531658818,0.06049776077270508
