Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LogisticRegression,0.9192307692307692,0.9267933535280833,,0.919398985307675,0.18614602088928223
CalibratedClassifierCV,0.8923076923076924,0.9036503664945602,,0.8909086228949733,4.770093202590942
PassiveAggressiveClassifier,0.8884615384615384,0.8976960464175221,,0.8879604039733272,0.26455020904541016
NuSVC,0.8846153846153846,0.8924639205970587,,0.8850018076814298,0.4212021827697754
LinearSVC,0.8769230769230769,0.8888681151013175,,0.874850533940868,1.1053869724273682
SGDClassifier,0.8653846153846154,0.872281408293,,0.8661597247891345,0.1504504680633545
Perceptron,0.8307692307692308,0.84300211648729,,0.827509640740101,0.12238192558288574
RidgeClassifierCV,0.8115384615384615,0.8246814863530945,,0.8095325987005236,0.23480653762817383
SVC,0.7692307692307693,0.7957395283108188,,0.7689856854527025,0.4992244243621826
ExtraTreesClassifier,0.7576923076923077,0.7720589856640738,,0.7618597784050117,0.36664319038391113
KNeighborsClassifier,0.75,0.7605546275669739,,0.753386407268182,0.3147454261779785
XGBClassifier,0.7423076923076923,0.754293189224741,,0.7421782854191321,4.092344760894775
LGBMClassifier,0.7192307692307692,0.7393697613980874,,0.7158106941242598,15.749184131622314
RandomForestClassifier,0.7038461538461539,0.7195915086380391,,0.7021252668242828,0.8589761257171631
RidgeClassifier,0.6692307692307692,0.6778913556903194,,0.6726187534634993,0.05063009262084961
LinearDiscriminantAnalysis,0.6576923076923077,0.6706382960749946,,0.6561632950979066,0.2640419006347656
BaggingClassifier,0.5461538461538461,0.5596651457609201,,0.5433115605444464,1.0782880783081055
DecisionTreeClassifier,0.40384615384615385,0.41550391215449,,0.40630783869764625,0.18907690048217773
GaussianNB,0.36153846153846153,0.3660777177734949,,0.3633469603969494,0.05855560302734375
NearestCentroid,0.35384615384615387,0.3617294747431787,,0.3465285203321598,0.031020641326904297
BernoulliNB,0.3384615384615385,0.3391443084000378,,0.33455923154486633,0.039858341217041016
ExtraTreeClassifier,0.31153846153846154,0.3077289939364528,,0.3145445635805121,0.029999732971191406
AdaBoostClassifier,0.23846153846153847,0.25931414198006364,,0.23090250709413496,1.3471035957336426
QuadraticDiscriminantAnalysis,0.16538461538461538,0.16955939110399948,,0.16449636419775593,0.2253570556640625
LabelSpreading,0.17307692307692307,0.125,,0.0510718789407314,0.10395669937133789
LabelPropagation,0.17307692307692307,0.125,,0.0510718789407314,0.09616661071777344
DummyClassifier,0.12307692307692308,0.12083879303735517,,0.1268129662959471,0.033574819564819336
